"Link","Title"
"https://www.comp.nus.edu.sg/programmes/pg/phdis/","PhD in Information Systems"
"https://www.comp.nus.edu.sg/programmes/#mcomp","Master of Computing (with Specialisations)"
"https://www.comp.nus.edu.sg/programmes/pg/mcomp-gen/","Master of Computing (General Track)"
"https://www.comp.nus.edu.sg/programmes/pg/mcomp-ai/","Master of Computing in Artificial Intelligence"
"https://www.comp.nus.edu.sg/programmes/pg/mdft/","Master of Science in Digital FinTech"
"https://msba.nus.edu.sg/","Master of Science in Business Analytics"
"https://www.aidf.nus.edu.sg/executive-master-in-ai-and-digital-transformation/","Executive Master in AI Digital Transformation"
"https://www.comp.nus.edu.sg/programmes/pg/certs/","Graduate Certificates"
"https://www.comp.nus.edu.sg/programmes/pg/certcf/","Graduate Certificates in Computing Foundations"
"https://www.comp.nus.edu.sg/programmes/#exec","Executive Education Part-time Programmes"
"http://comp.nus.edu.sg/executive-education","NUS Computing Executive Education"
"https://scale.nus.edu.sg/programmes/undergraduate-programmes/btech-computing","Bachelor of Technology"
"https://www.comp.nus.edu.sg/studentlife/","Community"
"https://www.comp.nus.edu.sg/studentlife/awards/","Student Awards"
"https://www.comp.nus.edu.sg/financial-support/","Financial Support"
"https://www.comp.nus.edu.sg/studentlife/wellness/","Student Wellness and Wellbeing"
"https://www.comp.nus.edu.sg/studentlife/clubs/","Student Clubs/Interest Groups"
"https://www.ccsgp.comp.nus.edu.sg/","Centre for Computing for Social Good and Philanthropy (CCSGP)"
"https://cence.comp.nus.edu.sg/","Centre for Nurturing Computing Excellence (CENCE)"
"https://comgallery.nus.edu.sg/","NUS Computing Gallery"
"https://www.comp.nus.edu.sg/research/","Research"
"https://www.comp.nus.edu.sg/research/research-initiatives/","Research Initiatives"
"https://www.comp.nus.edu.sg/research/ra/","Research Areas"
"https://www.comp.nus.edu.sg/research/partnership/","Research Partnership"
"https://www.comp.nus.edu.sg/wp-content/uploads/2025/11/NUS_Computing-Research-Bulletin_2025.pdf","Research Bulletin 2025"
"https://www.comp.nus.edu.sg/research/nus-computing-ascent-prize/","NUS Computing Ascent Prize Awards"
"https://www.comp.nus.edu.sg/entrepreneurship/","Entrepreneurship"
"https://www.comp.nus.edu.sg/entrepreneurship/leadership/","Leadership"
"https://www.comp.nus.edu.sg/entrepreneurship/innovation/","Innovation"
"https://www.comp.nus.edu.sg/entrepreneurship/funding/imc/","Funding Opportunities"
"https://www.comp.nus.edu.sg/entrepreneurship/alumni-companies/lists/","Alumni Companies"
"https://www.comp.nus.edu.sg/entrepreneurship/highlights/","News"
"https://www.comp.nus.edu.sg/entrepreneurship/awards/iepsoc/","Venture Initiation Programme@NUSComputing"
"https://www.comp.nus.edu.sg/entrepreneurship/awards/ia/","NUS Computing Innovation Prize"
"https://www.comp.nus.edu.sg/entrepreneurship/awards/abp-competition/","Asian Business Plan Competition"
"https://www.comp.nus.edu.sg/entrepreneurship/furnace/application/overview/","Overview"
"https://www.comp.nus.edu.sg/entrepreneurship/furnace/start/","Start-ups"
"https://www.comp.nus.edu.sg/industry/","Industry"
"https://www.comp.nus.edu.sg/industry/iconnect/","IndustryConnect (iConnect)"
"https://www.comp.nus.edu.sg/industry/careerfair/","Career Fair"
"https://www.comp.nus.edu.sg/industry/careerservices/","Career Services"
"https://www.comp.nus.edu.sg/industry/intern/","Overview"
"https://www.comp.nus.edu.sg/industry/intern/employers/","For Employers"
"https://www.comp.nus.edu.sg/industry/intern/student/","For Students"
"https://www.comp.nus.edu.sg/giving/","Giving"
"https://mysoc.nus.edu.sg/","MySoC"
"https://www.comp.nus.edu.sg/alum/","Alumni"
"https://nus.edu.sg/ormc/compliance/personal-data-protection-at-nus/nus-privacy-notice","Privacy Policy"
"https://www.comp.nus.edu.sg/entrepreneurship/furnace/","The Furnace"
"https://www.comp.nus.edu.sg/wp-content/uploads/2023/10/COM2_L1-4-scaled.webp","Click here"
"https://www.liftauth.com/","Bellman Foundry"
"http://lenorai.com","Lenor"
"https://genue.ai/","Genue"
"https://www.gtg.social/","GTG"
"https://www.wisbid.com/","Wisbid"
"https://www.actsmarket.com/","ACTS Market Pte Ltd"
"https://www.facebook.com/bantulife/","Bantu"
"https://www.beepbeep.tech/","Beep Technologies"
"https://www.betterdata.ai/","Betterdata"
"http://www.day-lightstudios.com/","Daylight Studios Pte Ltd"
"http://www.drive.sg/","drive.sg"
"https://www.linkedin.com/company/ezcare-global","ezCare Global Pte. Ltd."
"https://exabloom.com/","Exabloom"
"https://www.factorem.co/","Factorem"
"https://www.hyperpodai.com/","Hyperpod AI"
"https://www.facebook.com/Innceehq/","Inncee Pte Ltd"
"http://www.investingnote.com/","InvestingNote Pte. Ltd"
"https://jidobox.com/","JidoBox"
"https://www.jiotogo.com/","JioToGo"
"https://t.me/kiasufoodies","Kiasu Foodies"
"http://www.klinify.com/","Klinify"
"https://learnseeker.com/","Learnseeker"
"http://mirror-world.carrd.co/","Mirror World"
"https://mobbin.com/browse/ios/apps","Mobbin"
"https://momocentral.com/","MomoCentral"
"http://www.mozat.com/","Mozat Pte Ltd"
"https://musigpro.com/","MuSigPro"
"https://nodeflair.com/","NodeFlair"
"http://www.ohmyevent.sg/","OhMyEvent"
"https://www.perfingo.com/","Perfingo"
"https://reccelabs.com/","RecceLabs"
"https://sg.linkedin.com/in/reflective-ai-b74078322?original_referer=https%3A%2F%2Fwww.google.com%2F","Reflective AI"
"https://www.staffany.com/","StaffAny"
"https://www.snowball.day/","Snowball"
"http://vinova.sg/","Vinova Pte Ltd"
"http://www.visenze.com/","Visenze Pte Ltd"
"https://wafflepos.com/","Waffle Technologies"
"https://www.comp.nus.edu.sg/entrepreneurship/furnace/application/policy/","Terms and Policy"
"https://www.comp.nus.edu.sg/entrepreneurship/furnace/application/forms/","Forms"
"https://www.comp.nus.edu.sg/entrepreneurship/alumni-companies/m-a-exits/","M A Exits"
"https://www.comp.nus.edu.sg/entrepreneurship/funding/schemes/","Funding Schemes"
"https://www.comp.nus.edu.sg/entrepreneurship/awards/","Awards Competitions"
"https://www.comp.nus.edu.sg/entrepreneurship/awards/iepsoc/iepsocfaq/","Frequently Asked Questions"
"https://www.comp.nus.edu.sg/entrepreneurship/awards/iawinners/","List of NUS Computing Innovation Prize Winners"
"https://www.comp.nus.edu.sg/entrepreneurship/awards/iepsocwinners/","List of Venture Initiation Program@NUSComputing Awardees"
"https://www.comp.nus.edu.sg/entrepreneurship/awards/abp-competition/faq/","Frequently Asked Questions"
"https://www.comp.nus.edu.sg/entrepreneurship/contact/","Contact Us"
"https://www.facebook.com/NusSchoolOfComputing","Facebook"
"https://www.instagram.com/nuscomputing/","Instagram"
"https://t.me/nuscomputing","Telegram"
"https://www.linkedin.com/company/nuscomputing/","Linkedin"
"https://twitter.com/i/flow/login?redirect_after_login=%2Fnuscomputing",".st0{fill:#ADBDCC;}"
"https://www.youtube.com/c/NUSComputingtube","Youtube"
"https://www.comp.nus.edu.sg/tel:6565162727","+65 6516 2727"
"https://www.comp.nus.edu.sg/about/venues/","Find Our Venues"
"https://mysoc.nus.edu.sg/wp-login.php?redirect_to=%2F","NUS COMPUTING"
"https://events.comp.nus.edu.sg","Events"
"https://www.comp.nus.edu.sg/programmes/#gc","Graduate Certificates"
"https://www.nus.edu.sg/oam/","Undergraduate"
"https://nusgs.nus.edu.sg/admissions/","Graduate"
"https://myportal.nus.edu.sg/","Student Portal"
"https://dochub.comp.nus.edu.sg/","Facilities Services"
"https://exchange.nus.edu.sg/","NUS WebMail"
"https://canvas.nus.edu.sg/","NUS Canvas"
"https://mysoc.nus.edu.sg/academic/jobs/","Student Jobs"
"https://www.nus.edu.sg/pvo/legal-information-notices","Legal"
"https://nus.edu.sg/identity","Branding guidelines"
"https://www.comp.nus.edu.sg/#main-container",""
